# Train        Test        
    0.095000     0.109500 
    0.166000     0.178000 
    0.333000     0.364500 
    0.495500     0.450500 
    0.602000     0.550000 
    0.642500     0.579500 
    0.745500     0.758500 
    0.779500     0.799500 
    0.862000     0.843500 
    0.915000     0.860000 
    0.938500     0.868500 
    0.955000     0.900500 
    0.960000     0.715000 
    0.974500     0.871500 
    0.978500     0.860500 
    0.986500     0.878500 
    0.985500     0.889500 
    0.989500     0.898500 
    0.990500     0.895500 
    0.994000     0.902500 
    0.994500     0.894500 
    0.991500     0.887000 
    0.995500     0.897000 
    0.997000     0.898500 
    0.996000     0.894000 
    0.998500     0.903500 
    0.996000     0.892000 
    0.999000     0.893500 
    0.998000     0.901500 
    0.998000     0.877500 
    1.000000     0.914500 
    0.999000     0.886000 
    0.998000     0.902000 
    0.998500     0.854500 
    0.999000     0.893500 
    0.999500     0.888500 
    0.999000     0.900000 
    0.999500     0.902500 
    0.999500     0.902000 
    0.999500     0.901500 
    0.999500     0.902500 
    0.999000     0.910000 
    0.999000     0.899000 
    0.999500     0.898000 
    0.999000     0.883000 
    1.000000     0.899000 
    0.999000     0.879500 
    0.999500     0.898500 
    0.999500     0.902000 
    1.000000     0.899000 
