# Train        Test        
    0.454668     0.426790 
    0.416887     0.418812 
    0.378288     0.380805 
    0.335461     0.346163 
    0.299468     0.311099 
    0.282431     0.292987 
    0.237344     0.245656 
    0.220868     0.219569 
    0.177833     0.183640 
    0.144679     0.179716 
    0.120287     0.153769 
    0.103266     0.126176 
    0.092623     0.200746 
    0.071945     0.136475 
    0.060101     0.137534 
    0.052007     0.129742 
    0.043163     0.124669 
    0.038831     0.107145 
    0.036528     0.106156 
    0.029173     0.093431 
    0.029060     0.095527 
    0.027562     0.108905 
    0.023718     0.094333 
    0.021992     0.091934 
    0.021189     0.104154 
    0.019042     0.084912 
    0.019100     0.093818 
    0.017650     0.103952 
    0.015758     0.093820 
    0.015761     0.102985 
    0.014592     0.074693 
    0.014121     0.094197 
    0.013683     0.091642 
    0.013466     0.096485 
    0.013161     0.094012 
    0.011133     0.105755 
    0.011740     0.083521 
    0.010389     0.075919 
    0.009502     0.081480 
    0.010406     0.082462 
    0.010001     0.096514 
    0.008926     0.066381 
    0.010028     0.086683 
    0.008039     0.089935 
    0.009841     0.091374 
    0.007787     0.094122 
    0.008398     0.104831 
    0.008960     0.089082 
    0.008063     0.078632 
    0.007263     0.093317 
